company_id,employee_count,follower_count,time_recorded
81149246,6,91,1692644644.2779734
10033339,3,187,1692644644.2779734
6049228,20,82,1692644645.1013184
2641066,45,2336,1692644645.9232166
96649998,0,2,1692644645.924219
82684341,3,128,1692644646.3704655
82296828,0,64,1692644646.3704655
86746333,11,478,1692644646.8182244
718651,5,22,1692644647.1765628
4781041,14,17,1692644647.62722
7573454,94,9048,1692644648.0613468
1434753,61,653,1692644648.0613468
90844,249,1236,1692644648.44355
91459053,2,24,1692644648.8276289
145145,44,16833,1692644648.8276289
2899710,139,2841,1692644649.205593
20338460,38,1656,1692644649.205593
90633414,5,732,1692644649.578196
2902815,183,29262,1692644649.578196
371180,1893,31310,1692644649.9914944
10563070,14,349,1692644649.9914944
88684,147,8111,1692644650.34355
14615655,36,10237,1692644650.34355
69571610,3717,158109,1692644650.6863291
3657,28732,744716,1692644650.6863291
62424,899,10311,1692644651.0513952
18630069,19,1884,1692644651.0513952
1387626,1676,39770,1692644651.449499
35602,462,5824,1692644651.449499
18872958,335,156482,1692644652.0976858
89908682,18,301,1692644652.0976858
2502541,29,8058,1692644653.155199
9516195,113,8089,1692644653.155199
298409,395,146046,1692644653.5256968
298409,395,146046,1692644653.5256968
37768,2025,231325,1692644653.940611
91187899,2,582,1692644653.9416597
7032083,119,40756,1692644654.387137
33874,3725,15731,1692644654.3881612
8986045,0,116,1692644655.195742
81886402,1687,30991,1692644655.195742
34771768,7,413,1692644655.5833864
3579761,1873,17929,1692644655.5833864
6979,25985,387187,1692644655.9695814
6979,25985,387187,1692644655.9695814
6979,25985,387187,1692644656.352749
6979,25985,387187,1692644656.352749
79378951,19,95,1692644656.7188246
26489605,19,762,1692644656.7188246
9215353,499,6977,1692644657.0863972
81886402,1687,30991,1692644657.0863972
81886402,1687,30991,1692644657.4309351
76323347,932,14276,1692644657.4319358
76323347,932,14276,1692644657.8475058
76323347,932,14276,1692644657.8475058
81886402,1687,30991,1692644658.3075688
81886402,1687,30991,1692644658.3084865
76323347,932,14276,1692644658.6645088
81886402,1687,30991,1692644658.6645088
81886402,1687,30991,1692644659.0128863
3514329,422,20754,1692644659.0128863
2999886,17,16309,1692644659.3629177
8288,5521,87035,1692644659.3629177
2815,43186,284104,1692644659.9981124
81886402,1687,30991,1692644659.9981124
61677,2815,389704,1692644660.3392503
40934666,5,16505,1692644660.3392503
8288,5521,87035,1692644660.7971656
1485063,29,229,1692644661.1587803
19115854,113,267,1692644661.6190252
1124883,98,696,1692644661.6190252
4316275,12,20,1692644661.994752
27116461,59,11841,1692644661.994752
3579761,1873,17929,1692644662.3694382
64734122,31,291,1692644662.3694382
3579761,1873,17929,1692644662.8812387
272676,6,590,1692644663.2780228
3079381,8,178,1692644663.2780228
10665641,449,47697,1692644663.660056
2313067,7,10842,1692644663.660056
777243,356,241253,1692644664.067028
72332830,91,32494,1692644664.068053
165957,4756,90015,1692644664.4544868
166612,9708,147371,1692645428.0
22681,790,102620,1692645428.0
2326570,670,59672,1692645429.0
82591929,8,2159,1692684486.0
90403412,1,4,1692684486.0
11555975,18,751,1692684486.0
301266,34,825,1692684486.0
922460,222,2941,1692684487.0
11001662,5,409,1692684487.0
25963,1250,20418,1692684487.0
54945276,7,7,1692684487.0
72628508,10,1242,1692684488.0
61242,156,2498,1692684488.0
9599126,64,263,1692684488.0
260776,311,5405,1692684488.0
9599126,64,263,1692684488.0
1476408,572,36757,1692684489.0
